"County, State",Latitude,Longitude,Population,Median Age,Physicians #,Median Income,Pop/sq mile,Water per capita,Days of Growth,Shelter in Place (SIP),Days before March 16,Days After March 16/before SIP,Days before SIP,Days of SIP,Growth Rate Before March 16,Growth Rate After March 16 Order Before SIP,Growth After SIP to Current,Total Growth Rate
"Union, NJ",40.659871,-74.308696,526426,38,1572,64588,5216.1,41.43,22,43911,7,5,12,10,1.345900193,1.588835762,1.3314324,1.390778635
"Bernalillo, NM",35.054002,-106.669065,642527,35.8,3121,45550,570.8,248.29,20,43914,5,8,13,7,1.695218203,1.150581939,1.169930813,1.275056664
"Santa Fe, NM",35.513722,-105.966441,147532,43,632,52220,75.5,336.22,20,43914,5,8,13,7,1.24573094,1.212343945,1.169930813,1.205486815
"Albany, NY",42.588271,-73.974014,298284,38.5,1787,54395,581.9,432.03,19,43912,4,6,10,9,1.56508458,1.473852348,1.06993138,1.282498188
"Dutchess, NY",41.755009,-73.739951,293562,40.2,901,68891,373.9,131.15,19,43912,4,6,10,9,1.77827941,1.42004566,1.218064168,1.384546833
"Erie, NY",42.752759,-78.778192,909247,40.4,3892,46739,881.4,862.13,16,43912,1,6,7,9,2,1.44224957,1.26376251,1.366599814
"Monroe, NY",43.464475,-77.664656,733703,38.5,3894,50283,1132.6,309.33,20,43912,5,6,11,9,1.584893192,1.336531327,1.202647876,1.330013541
"Nassau, NY",40.729687,-73.589384,1357429,41.1,9441,92221,4704.8,413.71,26,43912,11,6,17,9,1.531865343,1.610229766,1.181803558,1.416503787
"Orange, NY",41.40241,-74.306252,383532,36.6,943,68057,459.3,2293.14,19,43912,4,6,10,9,1.821160287,1.679644523,1.227259507,1.472513176
"Rockland, NY",41.154785,-74.024772,300173,36.7,1335,78218,1795.9,3439.4,25,43912,10,6,16,9,1.231144413,1.74708983,1.22675168,1.337308651
"Saratoga, NY",43.106135,-73.855387,220069,40.9,491,66634,271.1,111.28,24,43912,9,6,15,9,1.107173179,1.42004566,1.113621909,1.180818295
"Schenectady, NY",42.817542,-74.043583,152169,39.8,532,52675,756.6,193.86,18,43912,3,6,9,9,1.587401052,1.46161874,1.090422801,1.279940969
"Suffolk, NY",40.943554,-72.692218,1518475,39.8,5025,82984,1637.4,1022.41,23,43912,8,6,14,9,1.678485403,1.594152991,1.23102319,1.466856671
"Ulster, NY",41.947232,-74.265447,181440,42,391,55285,162.3,2586.18,23,43912,8,6,14,9,1.275373107,1.24445506,1.264563284,1.263020408
"Westchester, NY",41.15277,-73.745912,955962,40,7390,77057,2204.7,2688.1,27,43912,12,6,18,9,1.30471844,1.430042497,1.204119615,1.296440724
"Johnston, NC",35.513405,-78.367267,168525,36.3,108,49501,213.4,158.63,19,43920,4,14,18,1,1.189207115,1.129491714,1.363636364,1.153186474
"Mecklenburg, NC",35.246862,-80.833832,913639,33.9,3091,53158,1755.5,3345.4,19,43920,4,14,18,1,1.189207115,1.384933155,1.09947644,1.325018885
"Wake, NC",35.789846,-78.650624,897214,34.4,2650,63770,1078.8,178.21,28,43920,13,14,27,1,1.231596819,1.187333252,1.156626506,1.206553191
"Butler, OH",39.439915,-84.565397,363184,36,553,53543,788.2,543.28,17,43913,2,7,9,8,1.224744871,1.160416654,1.098327095,1.13797288
"Cuyahoga, OH",41.760392,-81.724217,1275709,40.2,8835,40254,2800,425.8,22,43913,7,7,14,8,1.345900193,1.298022279,1.171057024,1.264827602
"Franklin, OH",39.969447,-83.008258,1150122,33.4,4869,47460,2186.1,187.99,17,43913,2,7,9,8,1.732050808,1.476986936,1.276852382,1.405263754
"Lorain, OH",41.438805,-82.179722,305707,40,543,48439,613.6,2101.68,17,43913,2,7,9,8,1.732050808,1.345900193,1.166004768,1.295917294
"Medina, OH",41.116051,-81.899566,174035,40.4,289,65927,409,89.76,16,43913,1,7,8,8,2,1.333548306,1.176342882,1.284614051
"Stark, OH",40.814131,-81.365667,379466,41.1,963,44363,652.9,131.89,20,43913,5,7,12,8,1.24573094,1.233032675,1.167908032,1.209652495
"Trumbull, OH",41.308936,-80.767656,210157,42.8,302,40980,340.1,937.44,19,43913,4,7,11,8,1.189207115,1.059634023,1.421448383,1.228625356
"Tulsa, OK",36.120121,-95.941731,601961,35.2,1903,46143,1058.1,35.75,25,43915,10,9,19,6,1.116123174,1.276518007,1.205828992,1.193337048
"Clackamas, OR",45.160493,-122.195127,386143,40.6,1143,60051,201,908.46,19,43913,4,7,11,8,1.189207115,1.320469248,1.172479468,1.228625356
"Deschutes, OR",43.915118,-121.225575,158629,40.2,576,51959,52.3,1461.59,20,43913,5,7,12,8,1.430969081,1.07570374,1.121353392,1.174618943
"Linn, OR",44.494824,-122.543756,116584,39.2,170,46717,50.9,1107.61,20,43913,5,7,12,8,1.379729661,1.104089514,1.079932139,1.15706721
"Marion, OR",44.900898,-122.57626,317981,35.1,703,43388,266.7,908.15,23,43913,8,7,15,8,1.14720269,1.389495494,1.213423027,1.240064598
"Multnomah, OR",45.547693,-122.417173,726855,35.7,4638,50604,1704.9,79.91,21,43913,6,7,13,8,1.122462048,1.399214141,1.238168745,1.254028837
"Washington, OR",45.553542,-123.097615,537318,35.3,1706,61022,731.4,173.05,32,43913,17,7,24,8,1.167936675,1.25591472,1.131964955,1.17739525
"Allegheny, PA",40.46892,-79.98092,1218494,41.3,7968,46212,1675.6,599.39,17,43913,2,7,9,8,2.236067977,1.381415936,1.270077626,1.405263754
"Bucks, PA",40.336887,-75.10706,626015,42,1721,75895,1034.7,182.01,20,43913,5,7,12,8,1.284735157,1.296057725,1.284666143,1.288659069
