"County, State",Latitude,Longitude,Population,Median Age,Physicians #,Median Income,Pop/sq mile,Water per capita,Days of Growth,Shelter in Place (SIP),Days before March 16,Days After March 16/before SIP,Days before SIP,Days of SIP,Growth Rate Before March 16,Growth Rate After March 16 Order Before SIP,Growth After SIP to Current,Total Growth Rate
"Summit, CO",39.621023,-106.137555,27239,36.4,98,65952,46,2651.67,18,43916,3,10,13,5,1.144714243,1.116123174,1.173160676,1.136463666
"Weld, CO",40.555794,-104.383649,254759,33.1,346,54578,63.4,3376.61,18,43916,3,10,13,5,1.587401052,1.389096377,1.189683068,1.360494144
"Fairfield, CT",41.228103,-73.366757,901208,39.5,3982,78892,1467.2,722.17,23,43913,8,7,15,8,1.523350185,1.375383091,1.273678243,1.387567065
"Hartford, CT",41.806053,-72.732916,879835,39.9,4031,61962,1216.2,165.73,17,43913,2,7,9,8,2,1.475837527,1.262213554,1.421056438
"Litchfield, CT",41.791897,-73.235428,188728,44.4,465,67688,206.3,522.97,19,43913,4,7,11,8,1.414213562,1.183385366,1.321615892,1.287123687
"New Haven, CT",41.349717,-72.900204,848006,39.3,4987,60388,1426.7,404.68,17,43913,2,7,9,8,2,1.394405617,1.372740149,1.444165915
"New Castle, DE",39.575915,-75.644132,534634,37.2,1833,62051,1263.2,952.93,20,43914,5,8,13,7,1.515716567,1.313775157,1.156952186,1.302336796
"Alachua, FL",29.67574,-82.357221,243574,30.1,2343,38597,282.7,249.42,21,43914,6,8,14,7,1.25992105,1.320589125,1.129913926,1.236966846
"Broward, FL",26.19352,-80.476658,1766476,39.7,5158,48772,1444.9,1055.64,25,43917,10,11,21,4,1.34587108,1.287970413,1.178945113,1.292405949
"Hillsborough, FL",27.90659,-82.349568,1195317,36.1,4466,47129,1204.9,1779.86,30,43917,15,11,26,4,1.12687761,1.35814229,1.150635179,1.210068608
"Orange, FL",28.514435,-81.323295,1086480,33.7,3268,46826,1268.5,247.25,18,43916,3,10,13,5,1.587401052,1.402756215,1.258825016,1.38954531
"Osceola, FL",28.059027,-81.139312,270618,35.6,318,42626,202.4,624.3,18,43916,3,10,13,5,1.587401052,1.273841086,1.195738009,1.298406571
"Pinellas, FL",27.903122,-82.739518,909013,46.3,3224,43200,3347.5,510.51,21,43916,6,10,16,5,1.122462048,1.321555287,1.207704329,1.234550557
"Clarke, GA",33.952234,-83.36713,116342,25.9,360,32727,979.1,72.48,16,43910,1,4,5,11,1.5,1.316074013,1.170804366,1.224358953
"Honolulu, HI",21.461364,-158.201976,907574,37.8,3814,67019,1586.7,1760.05,25,43916,10,10,20,5,1.196231199,1.29072567,1.153139332,1.224153803
"Maui, HI",20.855931,-156.60155,145157,39.6,379,58167,133.3,900.49,16,43919,1,13,14,2,2,1.193776642,1.118033989,1.222844545
"Ada, ID",43.447861,-116.244456,384656,34.8,1264,53828,372.8,3240.94,18,43915,3,9,12,6,1.25992105,1.382919367,1.319184322,1.340368291
"Cook, IL",41.894294,-87.645455,5287037,35.3,22887,52516,5495.1,331.47,67,43911,52,5,57,10,1.086849706,1.484545091,1.234254088,1.133756515
"DuPage, IL",41.852058,-88.086038,932541,38.2,4525,73554,2799.8,17.26,17,43911,2,5,7,10,2.236067977,1.685418597,1.18003288,1.41281499
"Kane, IL",41.939594,-88.42804,511892,34.5,775,66604,990.8,144.32,21,43911,6,5,11,10,1.200936955,1.216728684,1.319507911,1.25992105
"Lake, IL",42.326444,-87.436118,712567,36.7,2652,76336,1585.6,1217.64,20,43911,5,5,10,10,1.430969081,1.600434334,1.199667532,1.347402907
"McHenry, IL",42.324298,-88.452245,320961,38,433,74669,511.9,142.93,21,43911,6,5,11,10,1.122462048,1.406282388,1.190679253,1.218099832
"Sangamon, IL",39.756378,-89.662311,195716,39.2,1163,52581,227.4,2133.88,17,43911,2,5,7,10,1.224744871,1.059223841,1.148698355,1.130115783
"Hendricks, IN",39.768749,-86.510287,140606,36.7,250,67011,357.4,75.93,23,43914,8,8,16,7,1.14720269,1.201165258,1.271893271,1.202878199
"Howard, IN",40.483537,-86.114118,82895,40.7,157,47108,282.4,247.47,20,43914,5,8,13,7,1.148698355,1.14720269,1.150410074,1.148698355
"Marion, IN",39.782976,-86.135794,890879,33.9,4260,41201,2279.6,360.49,25,43914,10,8,18,7,1.214814044,1.479844148,1.291325953,1.316324854
"Johnson, KS",38.883907,-94.82233,542737,36.4,2726,72006,1149.6,35.4,24,43920,9,14,23,1,1.25992105,1.210472305,1.155172414,1.226392163
"Fayette, KY",38.040157,-84.458443,296545,33.7,2271,46386,1042.8,186.14,25,43916,10,10,20,5,1.174618943,1.207687006,1.26286924,1.205069888
"Harrison, KY",38.443489,-84.332796,18794,40.7,25,42415,61.5,181.33,23,43916,8,10,18,5,1.251033405,1.062488269,1,1.1098849
"Jefferson, KY",38.189533,-85.657624,721594,37.9,3800,44516,1948.1,1134.8,23,43916,8,10,18,5,1.275373107,1.233325416,1.272259637,1.256250488
"Caddo, LA",32.577195,-93.882423,253623,36.4,1779,38095,290.2,1345.19,20,43913,5,7,12,8,1.24573094,1.414563746,1.278032965,1.315802685
"Jefferson, LA",29.5033,-90.036231,443342,38.4,2027,46428,1463.1,2337.86,22,43913,7,7,14,8,1.54485766,1.426161635,1.214520886,1.379898978
"Lafourche, LA",29.491993,-90.394849,93682,36.5,159,47909,90.2,613.26,17,43913,2,7,9,8,1.414213562,1.333548306,1.220794482,1.288115503
"Orleans, LA",30.068636,-89.939007,354850,34.6,2580,35243,2029.4,1003.06,21,43913,6,7,13,8,1.633524303,1.290734935,1.158049262,1.324694345
"St. Bernard, LA",29.91811,-89.263494,40655,32.9,13,36660,95.1,4469.86,16,43913,1,7,8,8,2,1.333548306,1.214495434,1.305279889
"St. Charles, LA",29.913833,-90.359314,51611,36.5,46,56869,189.1,61857.2,18,43913,3,7,10,8,1.44224957,1.258498951,1.214495434,1.267207358
"St. Tammany, LA",30.410022,-89.951962,231495,39.3,856,58868,276.4,114.93,18,43913,3,7,10,8,1.44224957,1.341858304,1.21280395,1.298406571
"Terrebonne, LA",29.333266,-90.844191,109291,35,216,47565,90.8,105.96,18,43913,3,7,10,8,1.25992105,1.320469248,1.140227456,1.227448651
